indent,path,type,files,subfolders,total_bytes,total_compressed,ratio_pct
3,PROD03 pt 1 of 3/IMAGES/0020,folder,10000,0,2861394346,1939269827,67.8
3,PROD03 pt 1 of 3/IMAGES/0021,folder,10000,0,3069160913,2067928468,67.4
3,PROD03 pt 1 of 3/IMAGES/0022,folder,10000,0,2575965374,1700963239,66.0
3,PROD03 pt 1 of 3/IMAGES/0023,folder,10000,0,2419294812,1606262957,66.4
3,PROD03 pt 1 of 3/IMAGES/0024,folder,10000,0,2673353106,1765688752,66.0
3,PROD03 pt 1 of 3/IMAGES/0025,folder,10000,0,3777571512,2558000311,67.7
3,PROD03 pt 1 of 3/IMAGES/0026,folder,1,0,195788,116553,59.5
2,PROD03 pt 1 of 3/NATIVES,folder,31526,4,31393442876,20239927481,64.5
3,PROD03 pt 1 of 3/NATIVES/0001,folder,10000,0,3201590789,2647183469,82.7
3,PROD03 pt 1 of 3/NATIVES/0002,folder,10000,0,25267559553,15793081095,62.5
3,PROD03 pt 1 of 3/NATIVES/0003,folder,10000,0,2118296976,1242945032,58.7
3,PROD03 pt 1 of 3/NATIVES/0004,folder,1526,0,805995558,556717885,69.1
2,PROD03 pt 1 of 3/TEXT,folder,31636,4,12655733025,2371516616,18.7
3,PROD03 pt 1 of 3/TEXT/0001,folder,10000,0,79187287,19148717,24.2
3,PROD03 pt 1 of 3/TEXT/0002,folder,10000,0,10202705959,2058325676,20.2
3,PROD03 pt 1 of 3/TEXT/0003,folder,10000,0,2179715065,260804216,12.0
3,PROD03 pt 1 of 3/TEXT/0004,folder,1636,0,194124714,33238007,17.1
1,PROD03 pt 2 of 3,zip-root,312113,4,90020320813,56785851320,63.1
2,PROD03 pt 2 of 3/DATA,folder,5,0,90215261,6190342,6.9
2,PROD03 pt 2 of 3/IMAGES,folder,251848,26,82955841033,54218101499,65.4
3,PROD03 pt 2 of 3/IMAGES/0001,folder,10000,0,3741970127,2656655860,71.0
3,PROD03 pt 2 of 3/IMAGES/0002,folder,10000,0,3362831756,2438848421,72.5
3,PROD03 pt 2 of 3/IMAGES/0003,folder,10000,0,3950977266,2826596263,71.5
3,PROD03 pt 2 of 3/IMAGES/0004,folder,10000,0,5091781659,3729740323,73.3
3,PROD03 pt 2 of 3/IMAGES/0005,folder,10000,0,4963440830,2952796958,59.5
3,PROD03 pt 2 of 3/IMAGES/0006,folder,10000,0,4968221147,2733790932,55.0
